[[481 270]] , [[482 269]]
[[ 692 1518]] , [[ 692 1529]]
[[ 504 1488]] , [[ 504 1492]]
[[ 534 1576]] , [[ 534 1580]]
[[ 560 1480]] , [[ 560 1481]]
[[  84 1446]] , [[  84 1450]]
[[ 734 1470]] , [[ 734 1475]]
[[ 683 1430]] , [[ 683 1434]]
[[ 542 1548]] , [[ 542 1553]]
[[ 706 1471]] , [[ 705 1472]]
[[ 570 1558]] , [[ 570 1563]]
[[ 570 1558]] , [[ 570 1563]]
[[ 534 1572]] , [[ 534 1577]]
[[ 684 1554]] , [[ 684 1559]]
[[ 604 1558]] , [[ 604 1563]]
[[ 540 1560]] , [[ 540 1569]]
[[ 716 1568]] , [[ 716 1573]]
[[ 762 1570]] , [[ 762 1574]]
[[   4 1582]] , [[   4 1586]]
[[ 513 1572]] , [[ 512 1573]]
[[ 576 1558]] , [[ 576 1561]]
[[ 513 1572]] , [[ 513 1577]]
[[ 772 1820]] , [[ 772 1825]]
[[ 780 1810]] , [[ 780 1815]]
[[ 790 1810]] , [[ 790 1817]]
[[ 778 1810]] , [[ 778 1815]]
[[ 770 1820]] , [[ 770 1824]]
[[ 824 1816]] , [[ 824 1820]]
[[ 772 1820]] , [[ 772 1825]]
[[ 693 1808]] , [[ 693 1812]]
[[ 754 1812]] , [[ 754 1817]]
[[ 840 1558]] , [[ 840 1559]]
[[ 608 1568]] , [[ 608 1574]]
[[ 724 1570]] , [[ 724 1574]]
[[ 610 1568]] , [[ 610 1569]]
[[ 590 1568]] , [[ 590 1576]]
[[ 840 1558]] , [[ 840 1559]]
[[ 614 1564]] , [[ 614 1567]]
[[ 778 1568]] , [[ 778 1573]]
[[ 764 1568]] , [[ 764 1573]]
[[ 828 1816]] , [[ 828 1820]]
[[ 712 1570]] , [[ 712 1574]]
[[ 716 1570]] , [[ 716 1574]]
[[ 568 1566]] , [[ 568 1571]]
[[ 554 1574]] , [[ 554 1578]]
[[ 554 1574]] , [[ 554 1578]]
[[ 516 1575]] , [[ 516 1579]]
[[ 716 1570]] , [[ 716 1574]]
[[ 716 1570]] , [[ 716 1574]]
[[ 716 1570]] , [[ 716 1574]]
[[ 716 1570]] , [[ 716 1574]]
[[ 540 1566]] , [[ 540 1578]]
[[ 714 1568]] , [[ 714 1573]]
[[ 816 1810]] , [[ 816 1817]]
[[ 547 1573]] , [[ 547 1577]]
[[ 816 1810]] , [[ 816 1817]]
[[ 594 1564]] , [[ 594 1569]]
[[ 816 1810]] , [[ 816 1817]]
[[ 594 1564]] , [[ 594 1569]]
[[ 552 1564]] , [[ 552 1569]]
[[ 572 1558]] , [[ 572 1559]]
[[ 574 1556]] , [[ 574 1565]]
[[ 574 1556]] , [[ 574 1559]]
[[ 714 1552]] , [[ 714 1557]]
[[ 592 1560]] , [[ 591 1561]]
[[ 744 1568]] , [[ 744 1574]]
[[ 744 1568]] , [[ 744 1574]]
[[ 744 1568]] , [[ 744 1574]]
[[ 568 1568]] , [[ 568 1575]]
[[ 568 1568]] , [[ 568 1575]]
[[ 548 1568]] , [[ 548 1575]]
[[ 740 1566]] , [[ 740 1567]]
[[ 736 1566]] , [[ 736 1567]]
[[ 723 1472]] , [[ 722 1473]]
[[ 710 1473]] , [[ 710 1477]]
[[ 622 1478]] , [[ 622 1482]]
[[ 586 1567]] , [[ 586 1571]]
[[ 588 1567]] , [[ 588 1571]]
[[ 556 1568]] , [[ 556 1577]]
[[ 736 1568]] , [[ 736 1573]]
[[ 556 1572]] , [[ 556 1577]]
[[ 776 1794]] , [[ 776 1807]]
[[ 736 1568]] , [[ 736 1573]]
[[ 552 1568]] , [[ 552 1571]]
[[ 568 1568]] , [[ 568 1575]]
[[ 768 1570]] , [[ 768 1574]]
[[ 460 1577]] , [[ 460 1581]]
[[ 568 1568]] , [[ 568 1575]]
[[ 762 1570]] , [[ 762 1574]]
[[ 234 1579]] , [[ 234 1583]]
[[ 764 1568]] , [[ 764 1569]]
[[ 764 1568]] , [[ 764 1569]]
[[ 548 1564]] , [[ 548 1569]]
[[ 288 1578]] , [[ 288 1583]]
[[ 548 1564]] , [[ 548 1569]]
[[ 720 1564]] , [[ 720 1567]]
[[ 756 1570]] , [[ 756 1575]]
[[ 718 1568]] , [[ 718 1572]]
[[ 764 1570]] , [[ 764 1574]]
[[ 718 1568]] , [[ 718 1572]]
[[ 836 1564]] , [[ 836 1565]]
[[ 864 1564]] , [[ 864 1565]]
[[ 718 1568]] , [[ 718 1573]]
