[[353  15]] , [[354  14]]
[[ 654 1006]] , [[ 654 1013]]
[[ 654 1006]] , [[ 654 1013]]
[[592 177]] , [[592 181]]
[[ 35 485]] , [[ 34 486]]
[[ 15 450]] , [[ 15 454]]
[[321 908]] , [[322 907]]
[[646 940]] , [[646 963]]
[[310 566]] , [[310 567]]
[[310 566]] , [[310 567]]
[[854 712]] , [[854 727]]
[[661 920]] , [[662 919]]
[[566 738]] , [[566 739]]
[[853 688]] , [[853 689]]
[[  12 1037]] , [[  11 1038]]
[[   0 1048]] , [[   0 1129]]
[[   0 1048]] , [[   0 1129]]
[[560 738]] , [[560 743]]
[[560 738]] , [[560 743]]
[[310 566]] , [[308 568]]
[[496 743]] , [[496 747]]
[[326 908]] , [[327 908]]
[[850 714]] , [[849 715]]
[[302 710]] , [[302 711]]
[[848 716]] , [[848 717]]
[[ 646 1006]] , [[ 646 1011]]
[[306 567]] , [[305 568]]
[[306 567]] , [[305 568]]
[[644 700]] , [[644 701]]
[[497 742]] , [[496 743]]
[[497 742]] , [[497 743]]
[[842 766]] , [[842 771]]
[[  12 1038]] , [[  12 1045]]
[[384 736]] , [[384 740]]
[[282 714]] , [[282 729]]
[[833 768]] , [[833 769]]
[[825 660]] , [[825 661]]
[[820 670]] , [[820 687]]
[[828 768]] , [[828 779]]
[[278 568]] , [[278 569]]
[[816 652]] , [[816 673]]
[[496 744]] , [[496 748]]
[[625 933]] , [[626 932]]
[[459 608]] , [[460 607]]
[[461 608]] , [[462 607]]
[[577 923]] , [[578 922]]
[[ 347 1080]] , [[ 348 1079]]
[[615 934]] , [[616 933]]
[[   5 1096]] , [[   5 1100]]
[[ 823 1056]] , [[ 824 1055]]
[[   0 1041]] , [[   0 1045]]
[[   0 1041]] , [[   0 1045]]
[[  14 1230]] , [[  14 1238]]
[[   2 1086]] , [[   2 1093]]
[[   4 1150]] , [[   4 1153]]
[[   0 1070]] , [[   0 1075]]
[[ 819 1056]] , [[ 820 1055]]
[[415 676]] , [[416 675]]
[[459 608]] , [[460 607]]
[[607 930]] , [[608 929]]
[[607 932]] , [[608 931]]
[[651 758]] , [[652 757]]
[[651 758]] , [[652 757]]
[[479 922]] , [[480 921]]
[[649 758]] , [[650 757]]
[[277 592]] , [[278 591]]
[[504 740]] , [[504 745]]
[[518 742]] , [[518 746]]
[[459 609]] , [[460 608]]
[[313 906]] , [[313 910]]
[[519 746]] , [[519 750]]
[[271 594]] , [[272 593]]
[[458 609]] , [[471 609]]
[[603 936]] , [[604 935]]
[[394 842]] , [[394 847]]
[[251 674]] , [[252 673]]
[[603 955]] , [[604 954]]
[[253 676]] , [[254 675]]
[[353 736]] , [[353 740]]
[[500 740]] , [[500 745]]
[[502 740]] , [[502 745]]
[[446 742]] , [[446 746]]
[[500 740]] , [[499 741]]
[[500 740]] , [[499 741]]
[[517 740]] , [[517 744]]
[[463 608]] , [[464 607]]
[[493 744]] , [[493 750]]
[[493 745]] , [[493 750]]
[[382 968]] , [[382 973]]
[[500 744]] , [[500 745]]
[[519 739]] , [[519 743]]
[[622 948]] , [[623 947]]
[[463 608]] , [[464 607]]
[[275 732]] , [[276 731]]
[[500 743]] , [[500 747]]
[[656 746]] , [[656 751]]
[[320 729]] , [[320 735]]
[[416 964]] , [[416 965]]
[[314 906]] , [[314 910]]
[[838 722]] , [[838 729]]
[[288 706]] , [[288 707]]
[[  13 1038]] , [[  12 1039]]
[[291 705]] , [[290 706]]
[[844 718]] , [[844 719]]
[[302 673]] , [[301 674]]
[[547 738]] , [[547 743]]
[[838 624]] , [[838 635]]
[[368 734]] , [[368 735]]
[[379 734]] , [[379 738]]
[[   0 1040]] , [[   0 1045]]
[[572 740]] , [[572 745]]
[[439 996]] , [[440 995]]
[[ 675 1046]] , [[ 676 1045]]
[[566 738]] , [[566 739]]
[[858 672]] , [[858 686]]
[[ 15 450]] , [[ 15 454]]
[[ 37 488]] , [[ 36 489]]
[[598 740]] , [[598 741]]
[[327 916]] , [[328 915]]
[[   8 1036]] , [[   7 1037]]
[[581 740]] , [[581 744]]
[[647 606]] , [[648 605]]
[[584 740]] , [[584 745]]
[[584 740]] , [[584 745]]
[[336 960]] , [[336 965]]
[[  62 1104]] , [[  62 1119]]
[[336 566]] , [[336 567]]
[[  64 1200]] , [[  64 1205]]
[[  70 1126]] , [[  70 1137]]
[[ 689 1328]] , [[ 689 1332]]
[[  64 1200]] , [[  64 1205]]
[[  66 1200]] , [[  66 1205]]
[[  73 1112]] , [[  73 1115]]
[[  64 1154]] , [[  64 1167]]
[[   0 1028]] , [[   0 1057]]
[[  66 1196]] , [[  66 1205]]
[[ 676 1428]] , [[ 676 1433]]
[[ 741 1468]] , [[ 741 1472]]
[[  74 1228]] , [[  74 1232]]
[[ 109 1223]] , [[ 109 1227]]
[[ 110 1224]] , [[ 110 1228]]
[[  68 1264]] , [[  68 1269]]
[[   0 1078]] , [[   0 1083]]
[[  74 1138]] , [[  74 1139]]
[[  74 1142]] , [[  74 1143]]
[[  68 1264]] , [[  68 1269]]
[[  70 1250]] , [[  70 1255]]
[[ 656 1368]] , [[ 656 1375]]
[[ 754 1482]] , [[ 754 1487]]
[[ 558 1549]] , [[ 558 1553]]
[[ 159 1359]] , [[ 159 1363]]
[[ 672 1306]] , [[ 672 1311]]
[[ 672 1306]] , [[ 672 1311]]
[[  74 1230]] , [[  74 1234]]
[[  21 1316]] , [[  20 1317]]
[[ 684 1328]] , [[ 684 1334]]
[[ 672 1420]] , [[ 672 1425]]
[[ 672 1420]] , [[ 672 1425]]
[[ 684 1328]] , [[ 684 1334]]
[[ 731 1469]] , [[ 731 1470]]
[[  80 1244]] , [[  80 1249]]
[[  73 1236]] , [[  73 1241]]
[[  74 1200]] , [[  74 1204]]
[[ 732 1432]] , [[ 732 1436]]
[[  77 1216]] , [[  77 1226]]
[[ 752 1468]] , [[ 752 1473]]
[[ 670 1422]] , [[ 670 1427]]
[[ 732 1469]] , [[ 732 1473]]
[[ 724 1432]] , [[ 724 1436]]
[[ 724 1432]] , [[ 724 1436]]
[[  71 1163]] , [[  71 1169]]
[[ 650 1370]] , [[ 650 1374]]
[[  68 1250]] , [[  68 1257]]
[[ 650 1370]] , [[ 650 1374]]
[[ 650 1370]] , [[ 650 1374]]
[[ 724 1432]] , [[ 724 1436]]
[[ 672 1420]] , [[ 672 1421]]
[[ 680 1426]] , [[ 680 1431]]
[[ 678 1420]] , [[ 678 1425]]
[[ 380 1424]] , [[ 380 1431]]
[[ 682 1298]] , [[ 682 1303]]
[[ 370 1424]] , [[ 370 1429]]
[[ 736 1468]] , [[ 735 1469]]
[[ 698 1368]] , [[ 698 1373]]
[[  73 1102]] , [[  73 1109]]
[[  73 1100]] , [[  73 1111]]
[[  73 1100]] , [[  73 1105]]
[[  75 1232]] , [[  73 1234]]
[[  66 1196]] , [[  66 1207]]
[[  78 1232]] , [[  78 1233]]
[[  71 1172]] , [[  71 1181]]
[[  74 1200]] , [[  74 1211]]
[[  57 1072]] , [[  56 1073]]
[[  28 1038]] , [[  28 1043]]
[[  68 1196]] , [[  68 1197]]
[[  68 1198]] , [[  68 1207]]
[[423 736]] , [[422 737]]
[[580 738]] , [[580 742]]
[[326 564]] , [[326 565]]
[[572 738]] , [[572 745]]
[[481 994]] , [[482 993]]
[[576 738]] , [[576 743]]
[[399 738]] , [[399 743]]
[[300 672]] , [[300 681]]
[[815 619]] , [[814 620]]
[[415 996]] , [[416 995]]
[[462 607]] , [[473 607]]
[[247 940]] , [[248 939]]
[[467 606]] , [[468 605]]
[[248 258]] , [[248 263]]
[[277 590]] , [[278 589]]
[[277 592]] , [[278 591]]
[[416 738]] , [[416 751]]
[[239 596]] , [[240 595]]
[[290 908]] , [[290 913]]
[[432 740]] , [[432 746]]
[[122 128]] , [[122 134]]
[[400  25]] , [[400  31]]
[[215 592]] , [[216 591]]
[[444 740]] , [[444 741]]
[[521 744]] , [[522 743]]
[[647 598]] , [[648 597]]
[[426 742]] , [[426 746]]
[[203 590]] , [[204 589]]
[[211 588]] , [[212 587]]
[[233 594]] , [[234 593]]
[[460 740]] , [[460 745]]
[[416 738]] , [[416 745]]
[[293 592]] , [[294 591]]
[[376 622]] , [[376 627]]
[[465 606]] , [[466 605]]
[[460 740]] , [[460 745]]
[[593 760]] , [[594 759]]
[[459 608]] , [[460 607]]
[[512 746]] , [[512 751]]
[[283 592]] , [[284 591]]
[[518 747]] , [[518 751]]
[[485 922]] , [[486 921]]
[[341 932]] , [[342 931]]
[[514 742]] , [[514 743]]
[[261 704]] , [[262 703]]
[[  64 1035]] , [[  64 1039]]
[[  64 1035]] , [[  64 1039]]
[[ 401 1010]] , [[ 402 1009]]
[[  66 1268]] , [[  66 1273]]
[[465 606]] , [[466 605]]
[[328 934]] , [[328 939]]
[[320 728]] , [[320 737]]
[[ 670 1338]] , [[ 670 1343]]
[[389 734]] , [[389 735]]
