[[398 996]] , [[ 398 1005]]
[[ 354 1008]] , [[ 354 1009]]
[[ 354 1008]] , [[ 354 1009]]
[[ 702 1004]] , [[ 702 1009]]
[[ 356 1006]] , [[ 356 1007]]
[[482 998]] , [[ 482 1003]]
[[ 422 1006]] , [[ 422 1013]]
[[ 242 1004]] , [[ 242 1005]]
[[394 968]] , [[394 973]]
[[178 904]] , [[178 915]]
[[631 856]] , [[631 860]]
[[416 838]] , [[416 843]]
[[190 454]] , [[190 458]]
[[244 550]] , [[244 555]]
[[205 588]] , [[204 589]]
[[144 360]] , [[144 364]]
[[186 452]] , [[186 455]]
[[186 452]] , [[186 453]]
[[144 360]] , [[144 364]]
[[307 596]] , [[308 595]]
[[240 550]] , [[240 555]]
[[282 578]] , [[282 583]]
[[287 576]] , [[285 578]]
[[187 442]] , [[186 443]]
[[430 595]] , [[430 599]]
[[414 585]] , [[413 586]]
[[856 634]] , [[856 639]]
[[616 840]] , [[616 841]]
[[600 842]] , [[600 847]]
[[600 842]] , [[600 847]]
[[682 842]] , [[682 843]]
[[356 832]] , [[356 835]]
[[600 842]] , [[600 847]]
[[622 842]] , [[622 847]]
[[680 842]] , [[680 843]]
[[ 64 292]] , [[ 64 301]]
[[ 52 288]] , [[ 52 289]]
[[ 50 288]] , [[ 50 289]]
[[512 740]] , [[512 744]]
[[496 744]] , [[496 749]]
[[520 742]] , [[520 746]]
[[496 744]] , [[496 751]]
[[281 590]] , [[282 589]]
[[344 734]] , [[344 738]]
[[  1 492]] , [[  1 493]]
[[632 940]] , [[632 941]]
[[ 17 423]] , [[ 17 428]]
[[540 738]] , [[540 743]]
[[192 268]] , [[192 273]]
[[636 970]] , [[636 977]]
[[852 720]] , [[852 725]]
[[856 712]] , [[856 713]]
[[701 758]] , [[702 757]]
[[703 758]] , [[704 757]]
[[570 740]] , [[570 745]]
[[837 602]] , [[838 601]]
[[645 744]] , [[645 748]]
[[841 603]] , [[842 602]]
[[  0 528]] , [[  0 532]]
[[653 603]] , [[654 604]]
[[368 564]] , [[368 565]]
[[471 918]] , [[472 917]]
[[620 740]] , [[620 744]]
[[823 758]] , [[824 757]]
[[674 915]] , [[675 914]]
[[479 918]] , [[480 917]]
[[664 740]] , [[664 744]]
[[853 605]] , [[854 604]]
[[590 740]] , [[590 744]]
[[676 915]] , [[677 914]]
[[675 915]] , [[676 914]]
[[727 956]] , [[728 955]]
[[727 960]] , [[728 959]]
[[  72 1190]] , [[  72 1199]]
[[521 964]] , [[522 963]]
[[647 606]] , [[648 605]]
[[647 606]] , [[648 605]]
[[647 606]] , [[648 605]]
[[649 606]] , [[650 605]]
[[837 608]] , [[838 607]]
