[[ 48 288]] , [[ 48 289]]
[[534 740]] , [[534 745]]
[[  0 510]] , [[  0 517]]
[[344 734]] , [[344 739]]
[[625 618]] , [[626 617]]
[[  2 521]] , [[  1 522]]
[[661 872]] , [[662 871]]
[[652 700]] , [[652 701]]
[[853 676]] , [[853 687]]
[[652 745]] , [[651 746]]
[[639 744]] , [[639 745]]
[[465 597]] , [[466 596]]
[[462 736]] , [[462 743]]
[[581 740]] , [[581 744]]
[[472 736]] , [[472 743]]
[[ 69 514]] , [[ 70 515]]
[[383 596]] , [[384 595]]
[[719 964]] , [[720 963]]
[[823 758]] , [[824 757]]
[[698 624]] , [[698 629]]
[[653 603]] , [[654 604]]
[[364 751]] , [[365 750]]
[[712 942]] , [[712 943]]
[[589 740]] , [[589 745]]
[[465 736]] , [[465 740]]
[[466 736]] , [[466 740]]
[[854 605]] , [[855 604]]
[[841 606]] , [[842 605]]
[[675 915]] , [[676 914]]
[[675 915]] , [[676 914]]
[[  89 1103]] , [[  89 1107]]
[[677 913]] , [[683 913]]
[[600 740]] , [[600 741]]
[[602 740]] , [[602 741]]
[[602 740]] , [[602 743]]
[[631 740]] , [[631 741]]
[[633 740]] , [[633 744]]
[[839 757]] , [[840 756]]
[[735 970]] , [[736 969]]
[[681 913]] , [[685 913]]
[[473 918]] , [[474 917]]
[[ 10 538]] , [[ 10 543]]
[[403 594]] , [[404 593]]
[[ 39 536]] , [[ 39 541]]
[[835 756]] , [[836 755]]
[[ 39 536]] , [[ 39 539]]
[[837 755]] , [[838 754]]
[[604 740]] , [[604 744]]
[[385 564]] , [[383 566]]
[[737 956]] , [[738 955]]
[[ 10 990]] , [[ 10 993]]
[[  8 520]] , [[  8 521]]
[[827 912]] , [[828 911]]
[[739 756]] , [[740 755]]
[[469 918]] , [[470 917]]
[[737 980]] , [[738 979]]
[[384 564]] , [[382 566]]
[[  33 1094]] , [[  34 1093]]
[[  41 1090]] , [[  42 1089]]
[[372 565]] , [[371 566]]
[[515 928]] , [[516 927]]
[[381 594]] , [[382 593]]
[[   2 1018]] , [[   2 1023]]
