[[  0 528]] , [[  0 533]]
[[ 78 486]] , [[ 78 487]]
[[  0 528]] , [[  0 532]]
[[133  32]] , [[132  33]]
[[ 12 540]] , [[ 12 545]]
[[106 313]] , [[106 317]]
[[841 606]] , [[842 605]]
[[  0 528]] , [[  0 532]]
[[ 58 484]] , [[ 58 489]]
[[ 14 535]] , [[ 14 539]]
[[  0 526]] , [[  0 531]]
[[ 22 526]] , [[ 22 530]]
[[ 64 502]] , [[ 61 505]]
[[ 21 526]] , [[ 21 530]]
[[ 20 525]] , [[ 20 530]]
[[653 604]] , [[654 603]]
[[ 48 490]] , [[ 48 494]]
[[ 48 490]] , [[ 48 494]]
[[ 48 490]] , [[ 48 494]]
[[ 38 537]] , [[ 38 539]]
[[  0 538]] , [[  0 543]]
[[837 606]] , [[838 605]]
[[720 950]] , [[720 955]]
[[461 594]] , [[462 593]]
[[ 70 476]] , [[ 70 477]]
[[477 737]] , [[476 738]]
[[448 736]] , [[448 743]]
[[  6 538]] , [[  6 543]]
[[ 41 484]] , [[ 41 489]]
[[  8 529]] , [[  8 533]]
[[ 42 529]] , [[ 42 533]]
[[600 746]] , [[599 747]]
[[ 37 528]] , [[ 36 529]]
[[333 938]] , [[334 937]]
[[605 740]] , [[605 744]]
[[614 746]] , [[614 750]]
[[ 16 546]] , [[ 16 553]]
[[687 914]] , [[688 913]]
[[405 576]] , [[406 575]]
[[ 61 435]] , [[ 61 439]]
[[ 17 440]] , [[ 17 441]]
[[693 578]] , [[692 579]]
[[524 726]] , [[524 733]]
[[696 742]] , [[696 743]]
[[513 726]] , [[512 727]]
[[  48 1051]] , [[  47 1052]]
[[386 542]] , [[386 543]]
[[766 741]] , [[765 742]]
[[512 726]] , [[511 727]]
[[ 45 422]] , [[ 45 426]]
[[ 406 1000]] , [[ 406 1004]]
[[387 914]] , [[388 913]]
[[  57 1062]] , [[  58 1061]]
[[353 798]] , [[354 797]]
[[ 425 1010]] , [[ 426 1009]]
[[710 250]] , [[710 255]]
[[430 982]] , [[430 991]]
[[377 562]] , [[378 561]]
[[408 946]] , [[408 950]]
[[  0 528]] , [[  0 533]]
[[ 78 486]] , [[ 78 487]]
[[  0 528]] , [[  0 532]]
[[133  32]] , [[132  33]]
[[ 12 540]] , [[ 12 545]]
[[106 313]] , [[106 317]]
[[841 606]] , [[842 605]]
[[  0 528]] , [[  0 532]]
[[ 58 484]] , [[ 58 489]]
[[ 14 535]] , [[ 14 539]]
[[  0 526]] , [[  0 531]]
[[ 22 526]] , [[ 22 530]]
[[ 64 502]] , [[ 61 505]]
[[ 21 526]] , [[ 21 530]]
[[ 20 525]] , [[ 20 530]]
[[653 604]] , [[654 603]]
[[ 48 490]] , [[ 48 494]]
[[ 48 490]] , [[ 48 494]]
[[ 48 490]] , [[ 48 494]]
[[ 38 537]] , [[ 38 539]]
[[  0 538]] , [[  0 543]]
[[837 606]] , [[838 605]]
[[720 950]] , [[720 955]]
[[461 594]] , [[462 593]]
[[ 70 476]] , [[ 70 477]]
[[477 737]] , [[476 738]]
[[448 736]] , [[448 743]]
[[  6 538]] , [[  6 543]]
[[ 41 484]] , [[ 41 489]]
[[  8 529]] , [[  8 533]]
[[ 42 529]] , [[ 42 533]]
[[600 746]] , [[599 747]]
[[ 37 528]] , [[ 36 529]]
[[333 938]] , [[334 937]]
[[605 740]] , [[605 744]]
[[614 746]] , [[614 750]]
[[ 16 546]] , [[ 16 553]]
[[687 914]] , [[688 913]]
[[405 576]] , [[406 575]]
[[ 61 435]] , [[ 61 439]]
[[ 17 440]] , [[ 17 441]]
[[693 578]] , [[692 579]]
[[524 726]] , [[524 733]]
[[696 742]] , [[696 743]]
[[513 726]] , [[512 727]]
[[  48 1051]] , [[  47 1052]]
[[386 542]] , [[386 543]]
[[766 741]] , [[765 742]]
[[512 726]] , [[511 727]]
[[ 45 422]] , [[ 45 426]]
[[ 406 1000]] , [[ 406 1004]]
[[387 914]] , [[388 913]]
[[  57 1062]] , [[  58 1061]]
[[353 798]] , [[354 797]]
[[ 425 1010]] , [[ 426 1009]]
[[710 250]] , [[710 255]]
[[430 982]] , [[430 991]]
[[377 562]] , [[378 561]]
[[408 946]] , [[408 950]]
[[200 840]] , [[200 845]]
[[378 856]] , [[378 861]]
[[378 856]] , [[378 861]]
[[808 842]] , [[807 843]]
[[378 856]] , [[378 861]]
[[302 842]] , [[302 847]]
[[618 887]] , [[618 903]]
[[656 838]] , [[656 847]]
