[[1014  120]] , [[1014  124]]
[[774 621]] , [[773 622]]
[[1019  119]] , [[1019  123]]
[[124 358]] , [[124 362]]
[[124 358]] , [[124 362]]
[[682 635]] , [[682 639]]
[[829 853]] , [[830 852]]
[[1074  749]] , [[1074  754]]
[[811 635]] , [[811 639]]
[[719 569]] , [[718 570]]
[[229 487]] , [[229 491]]
[[263 488]] , [[263 492]]
[[ 81 356]] , [[ 80 357]]
[[213 485]] , [[212 486]]
[[105 355]] , [[104 356]]
[[153 357]] , [[153 361]]
[[ 44 357]] , [[ 43 358]]
[[102 356]] , [[102 360]]
[[1037  119]] , [[1037  123]]
[[1037  119]] , [[1037  123]]
[[ 41 358]] , [[ 41 362]]
[[148 457]] , [[148 459]]
[[1060  115]] , [[1060  119]]
[[1014  120]] , [[1014  124]]
[[774 621]] , [[773 622]]
[[1019  119]] , [[1019  123]]
[[124 358]] , [[124 362]]
[[124 358]] , [[124 362]]
[[682 635]] , [[682 639]]
[[829 853]] , [[830 852]]
[[1074  749]] , [[1074  754]]
[[811 635]] , [[811 639]]
[[719 569]] , [[718 570]]
[[229 487]] , [[229 491]]
[[263 488]] , [[263 492]]
[[ 81 356]] , [[ 80 357]]
[[213 485]] , [[212 486]]
[[105 355]] , [[104 356]]
[[153 357]] , [[153 361]]
[[392 999]] , [[393 998]]
[[390 948]] , [[391 947]]
[[ 409 1109]] , [[ 410 1108]]
[[ 496 1009]] , [[ 497 1008]]
[[671 903]] , [[671 907]]
[[ 622 1331]] , [[ 623 1330]]
[[789 835]] , [[789 839]]
[[ 337 1013]] , [[ 338 1012]]
[[ 545 1075]] , [[ 546 1074]]
[[831 991]] , [[831 992]]
[[446 980]] , [[447 979]]
[[395 963]] , [[396 962]]
[[770 833]] , [[767 836]]
[[470 719]] , [[470 728]]
[[438 715]] , [[436 717]]
[[718 627]] , [[714 631]]
[[478 661]] , [[477 662]]
[[562 647]] , [[560 649]]
[[589 570]] , [[589 574]]
[[699 666]] , [[700 665]]
[[422 553]] , [[422 557]]
[[714 636]] , [[715 635]]
[[786 554]] , [[786 561]]
[[306 551]] , [[305 552]]
[[212 571]] , [[212 575]]
[[485 573]] , [[485 577]]
[[209 571]] , [[209 575]]
[[460 661]] , [[459 662]]
[[280 685]] , [[279 686]]
[[871 651]] , [[869 653]]
[[504 651]] , [[504 652]]
[[673 674]] , [[674 673]]
[[163 558]] , [[163 565]]
[[431 491]] , [[431 495]]
[[262 553]] , [[260 555]]
[[846 653]] , [[845 654]]
[[816 693]] , [[815 694]]
[[384 657]] , [[384 661]]
[[392 668]] , [[392 672]]
[[471 685]] , [[470 686]]
[[864 657]] , [[864 661]]
[[607 690]] , [[608 689]]
[[694 655]] , [[693 656]]
[[618 673]] , [[619 672]]
[[782 699]] , [[781 700]]
[[168 679]] , [[168 683]]
[[527 715]] , [[527 716]]
[[478 667]] , [[478 671]]
[[421 662]] , [[421 667]]
[[864 659]] , [[864 663]]
[[478 667]] , [[478 671]]
[[270 683]] , [[269 684]]
[[168 679]] , [[168 683]]
[[593 722]] , [[594 721]]
[[617 690]] , [[618 689]]
[[497 721]] , [[498 720]]
[[577 706]] , [[578 705]]
[[513 729]] , [[512 730]]
[[488 713]] , [[487 714]]
[[447 701]] , [[446 702]]
[[497 721]] , [[498 720]]
[[510 683]] , [[509 684]]
[[759 686]] , [[758 687]]
[[601 700]] , [[602 699]]
[[454 716]] , [[454 720]]
[[768 737]] , [[767 738]]
[[577 706]] , [[578 705]]
[[664 702]] , [[663 703]]
[[787 687]] , [[786 688]]
[[556 761]] , [[555 762]]
[[671 715]] , [[670 716]]
[[670 701]] , [[669 702]]
[[617 738]] , [[618 737]]
[[501 764]] , [[500 765]]
[[531 719]] , [[532 718]]
[[575 761]] , [[577 763]]
[[596 733]] , [[593 736]]
[[668 741]] , [[667 742]]
[[607 740]] , [[608 739]]
[[707 747]] , [[707 748]]
[[598 737]] , [[600 739]]
[[512 773]] , [[513 772]]
[[561 754]] , [[562 753]]
[[201 836]] , [[204 836]]
[[770 737]] , [[769 738]]
[[354 804]] , [[355 803]]
[[667 779]] , [[668 778]]
[[417 852]] , [[418 851]]
[[535 858]] , [[536 857]]
[[338 847]] , [[337 848]]
[[518 767]] , [[521 767]]
[[657 862]] , [[658 861]]
[[402 795]] , [[403 794]]
[[451 736]] , [[451 740]]
[[446 763]] , [[445 764]]
[[709 754]] , [[710 753]]
[[445 728]] , [[443 730]]
[[769 729]] , [[769 734]]
[[576 755]] , [[577 754]]
[[604 739]] , [[603 740]]
[[697 732]] , [[696 733]]
[[580 731]] , [[579 732]]
[[696 734]] , [[695 735]]
[[526 713]] , [[523 716]]
[[752 747]] , [[751 748]]
[[624 721]] , [[623 722]]
[[728 723]] , [[727 724]]
[[657 746]] , [[658 745]]
[[666 731]] , [[665 732]]
[[668 761]] , [[669 760]]
[[568 755]] , [[569 754]]
[[672 729]] , [[670 731]]
