[[  0 307]] , [[  0 311]]
[[366 858]] , [[366 859]]
[[240 862]] , [[240 867]]
[[432 858]] , [[432 859]]
[[239 862]] , [[238 863]]
[[318 860]] , [[316 862]]
[[750 860]] , [[750 865]]
[[403 860]] , [[402 861]]
[[304 860]] , [[303 861]]
[[304 860]] , [[304 861]]
[[214 902]] , [[214 903]]
[[228 862]] , [[228 867]]
[[528 858]] , [[528 859]]
[[526 858]] , [[526 859]]
[[212 900]] , [[212 901]]
[[212 900]] , [[212 901]]
[[602 864]] , [[602 865]]
[[206 956]] , [[206 957]]
[[192 992]] , [[192 993]]
[[208 950]] , [[208 955]]
[[ 508 1018]] , [[ 508 1021]]
[[198 962]] , [[198 963]]
[[184 958]] , [[184 973]]
[[206 952]] , [[206 959]]
[[210 932]] , [[210 943]]
[[182 938]] , [[182 943]]
[[210 931]] , [[210 941]]
[[186 918]] , [[186 925]]
[[216 896]] , [[216 901]]
[[194 894]] , [[194 895]]
[[198 892]] , [[198 895]]
[[198 892]] , [[198 895]]
[[384 860]] , [[384 861]]
[[196 894]] , [[196 895]]
[[574 860]] , [[574 861]]
[[303 872]] , [[304 871]]
[[222 880]] , [[222 885]]
[[572 860]] , [[572 861]]
[[734 882]] , [[734 886]]
[[710 866]] , [[709 867]]
[[562 862]] , [[562 863]]
[[198 922]] , [[198 927]]
[[210 896]] , [[210 907]]
[[222 862]] , [[222 867]]
[[754 874]] , [[754 893]]
[[754 874]] , [[754 893]]
[[432 860]] , [[432 861]]
[[223 863]] , [[223 867]]
[[556 862]] , [[556 863]]
[[322 866]] , [[322 873]]
[[326 888]] , [[326 895]]
[[322 866]] , [[322 873]]
[[756 872]] , [[756 873]]
[[326 890]] , [[326 894]]
[[730 896]] , [[730 902]]
[[730 896]] , [[730 902]]
[[730 896]] , [[730 902]]
[[756 872]] , [[756 875]]
[[232 894]] , [[232 899]]
[[384 860]] , [[384 861]]
[[758 876]] , [[758 893]]
[[760 906]] , [[760 913]]
[[228 872]] , [[228 877]]
[[228 872]] , [[228 877]]
[[334 888]] , [[334 893]]
[[720 866]] , [[720 873]]
[[238 894]] , [[238 899]]
[[470 860]] , [[470 861]]
[[726 868]] , [[726 873]]
[[742 882]] , [[742 885]]
[[294 862]] , [[292 864]]
[[448 860]] , [[448 861]]
[[296 862]] , [[294 864]]
[[298 862]] , [[298 863]]
[[240 872]] , [[240 877]]
[[584 862]] , [[583 863]]
[[434 860]] , [[433 861]]
[[312 862]] , [[312 867]]
[[204 920]] , [[204 923]]
[[588 862]] , [[588 875]]
[[220 906]] , [[220 913]]
[[590 862]] , [[590 875]]
[[240 880]] , [[240 887]]
[[190 932]] , [[190 941]]
[[220 926]] , [[220 927]]
[[238 884]] , [[238 889]]
[[218 968]] , [[218 981]]
[[192 944]] , [[192 949]]
[[218 968]] , [[218 977]]
[[218 950]] , [[218 955]]
[[194 958]] , [[194 965]]
[[218 950]] , [[218 957]]
[[220 946]] , [[220 949]]
[[372 969]] , [[373 968]]
[[240 864]] , [[240 867]]
[[302 874]] , [[302 881]]
[[301 862]] , [[300 863]]
[[301 862]] , [[300 863]]
[[290 862]] , [[289 863]]
[[380 866]] , [[380 871]]
[[1018  793]] , [[1018  799]]
[[750 864]] , [[750 868]]
[[750 862]] , [[750 863]]
[[427 882]] , [[428 881]]
[[472 862]] , [[472 863]]
[[433 876]] , [[434 875]]
[[530 862]] , [[529 863]]
[[304 864]] , [[303 865]]
[[304 864]] , [[302 866]]
[[202 908]] , [[202 913]]
[[443 883]] , [[444 882]]
[[668 866]] , [[668 867]]
[[192 926]] , [[192 931]]
[[186 872]] , [[186 879]]
[[286 866]] , [[286 871]]
[[286 866]] , [[286 871]]
[[274 866]] , [[274 873]]
[[190 924]] , [[190 931]]
[[212 906]] , [[212 911]]
[[534 862]] , [[533 863]]
[[702 868]] , [[702 873]]
[[702 868]] , [[702 873]]
[[702 868]] , [[702 873]]
[[702 868]] , [[702 873]]
[[190 910]] , [[190 917]]
[[262 896]] , [[262 901]]
[[190 910]] , [[190 917]]
[[704 868]] , [[704 869]]
[[416 864]] , [[416 865]]
[[202 904]] , [[202 907]]
[[  0 313]] , [[  0 317]]
[[690 868]] , [[690 869]]
[[539 862]] , [[538 863]]
[[202 904]] , [[202 911]]
[[272 866]] , [[272 877]]
[[368 864]] , [[368 865]]
[[334 864]] , [[333 865]]
[[272 866]] , [[272 871]]
[[334 864]] , [[333 865]]
[[270 866]] , [[270 871]]
[[221 865]] , [[220 866]]
[[696 868]] , [[696 869]]
[[268 866]] , [[268 871]]
[[267 866]] , [[267 871]]
[[268 867]] , [[268 871]]
[[190 870]] , [[190 875]]
[[272 868]] , [[271 869]]
[[308 868]] , [[308 873]]
[[536 866]] , [[536 867]]
[[312 868]] , [[311 869]]
[[537 866]] , [[535 868]]
[[710 874]] , [[710 875]]
[[268 870]] , [[268 875]]
[[272 884]] , [[272 891]]
[[203 994]] , [[204 993]]
[[220 912]] , [[220 919]]
[[690 876]] , [[690 877]]
[[190 900]] , [[190 907]]
[[188 900]] , [[188 911]]
[[308 870]] , [[308 875]]
[[266 870]] , [[266 879]]
[[270 894]] , [[270 899]]
[[ 199 1012]] , [[ 200 1011]]
[[174 898]] , [[174 915]]
[[258 862]] , [[258 869]]
[[ 193 1000]] , [[194 999]]
[[266 882]] , [[266 887]]
[[174 894]] , [[174 913]]
[[656 854]] , [[656 861]]
[[530 848]] , [[530 849]]
[[368 852]] , [[368 853]]
[[418 855]] , [[417 856]]
[[438 854]] , [[437 855]]
[[315 874]] , [[316 873]]
[[311 866]] , [[312 865]]
[[238 874]] , [[238 879]]
[[238 874]] , [[238 879]]
[[186 926]] , [[186 927]]
[[184 928]] , [[184 943]]
[[191 960]] , [[192 959]]
[[178 924]] , [[178 937]]
[[218 888]] , [[218 893]]
[[574 854]] , [[574 855]]
[[242 856]] , [[242 857]]
[[735 892]] , [[736 891]]
[[384 854]] , [[384 855]]
[[224 888]] , [[224 893]]
[[224 888]] , [[224 893]]
[[175 894]] , [[175 895]]
[[208 930]] , [[208 941]]
[[208 930]] , [[208 941]]
[[192 934]] , [[192 943]]
[[246 876]] , [[246 885]]
[[744 852]] , [[744 855]]
[[744 850]] , [[744 853]]
