[[417  47]] , [[418  46]]
[[733 266]] , [[733 271]]
[[752 514]] , [[752 515]]
[[750 161]] , [[750 167]]
[[665 530]] , [[666 529]]
[[452 512]] , [[452 521]]
[[841 560]] , [[842 559]]
[[750 160]] , [[750 165]]
[[783 514]] , [[782 515]]
[[804 514]] , [[804 515]]
[[712 164]] , [[712 169]]
[[376 514]] , [[376 515]]
[[803 514]] , [[801 516]]
[[476 518]] , [[476 519]]
[[376 514]] , [[376 521]]
[[758 514]] , [[758 515]]
[[752 514]] , [[752 515]]
[[667 532]] , [[668 531]]
[[804 514]] , [[803 515]]
[[752 514]] , [[752 515]]
[[752 514]] , [[752 515]]
[[308 528]] , [[308 533]]
[[308 528]] , [[308 533]]
[[752 514]] , [[752 515]]
[[752 514]] , [[752 515]]
[[802 514]] , [[802 515]]
[[819 524]] , [[820 523]]
[[377 514]] , [[376 515]]
[[476 518]] , [[476 519]]
[[494 516]] , [[494 525]]
[[466 640]] , [[466 647]]
[[302 540]] , [[302 545]]
[[302 540]] , [[302 545]]
[[476 520]] , [[476 531]]
[[502 518]] , [[502 519]]
[[480 516]] , [[480 517]]
[[807 514]] , [[805 516]]
[[841 594]] , [[842 593]]
[[480 518]] , [[480 519]]
[[1012  528]] , [[1012  532]]
[[756 514]] , [[755 515]]
[[376 514]] , [[374 516]]
[[750 514]] , [[750 515]]
[[750 514]] , [[750 515]]
[[841 566]] , [[842 565]]
[[841 566]] , [[842 565]]
[[841 566]] , [[842 565]]
[[841 566]] , [[842 565]]
[[480 514]] , [[480 517]]
[[750 514]] , [[750 515]]
[[480 514]] , [[480 517]]
[[280 548]] , [[280 555]]
[[835 608]] , [[836 607]]
[[450 534]] , [[450 539]]
[[752 514]] , [[752 515]]
[[843 544]] , [[844 543]]
[[752 514]] , [[752 515]]
[[835 608]] , [[836 607]]
[[835 608]] , [[836 607]]
[[752 514]] , [[752 515]]
[[496 516]] , [[496 521]]
[[835 610]] , [[836 609]]
[[502 516]] , [[502 524]]
[[841 566]] , [[842 565]]
[[376 516]] , [[376 522]]
[[835 602]] , [[836 601]]
[[812 514]] , [[812 517]]
[[812 514]] , [[812 517]]
[[841 566]] , [[842 565]]
[[376 516]] , [[376 522]]
[[502 516]] , [[502 523]]
[[466 622]] , [[466 627]]
[[304 538]] , [[304 539]]
[[474 534]] , [[474 535]]
[[830 544]] , [[830 548]]
