[[1077   94]] , [[1070  101]]
[[362 299]] , [[362 303]]
[[800 120]] , [[800 124]]
[[843 120]] , [[843 124]]
[[1077   94]] , [[1076   95]]
[[757 119]] , [[757 123]]
[[1074   97]] , [[1074   98]]
[[972 117]] , [[972 121]]
[[764 117]] , [[764 121]]
[[769 349]] , [[769 353]]
[[268 574]] , [[268 578]]
[[622 612]] , [[622 613]]
[[630 549]] , [[630 553]]
[[ 80 467]] , [[ 80 471]]
[[611 549]] , [[609 551]]
[[183 485]] , [[183 489]]
[[380 489]] , [[380 493]]
[[ 97 355]] , [[ 96 356]]
[[375 549]] , [[374 550]]
[[380 489]] , [[380 493]]
[[380 489]] , [[380 493]]
[[431 453]] , [[431 457]]
[[547 448]] , [[547 452]]
[[122 357]] , [[122 361]]
[[553 489]] , [[552 490]]
[[391 488]] , [[391 492]]
[[316 489]] , [[316 493]]
[[107 484]] , [[107 488]]
[[252 554]] , [[252 558]]
[[462 488]] , [[462 490]]
[[422 573]] , [[422 577]]
[[ 82 303]] , [[ 82 307]]
[[ 43 357]] , [[ 42 358]]
[[104 485]] , [[104 489]]
[[207 457]] , [[207 461]]
[[734 569]] , [[734 573]]
[[555 547]] , [[553 549]]
[[628 616]] , [[628 620]]
[[176 569]] , [[176 573]]
[[511 574]] , [[511 578]]
[[655 554]] , [[655 558]]
[[657 555]] , [[657 559]]
[[680 491]] , [[680 495]]
[[217 555]] , [[216 556]]
[[319 492]] , [[319 496]]
[[530 493]] , [[530 497]]
[[661 489]] , [[660 490]]
[[379 551]] , [[379 555]]
[[111 485]] , [[109 487]]
[[175 489]] , [[174 490]]
[[158 489]] , [[158 493]]
[[335 573]] , [[333 575]]
[[389 491]] , [[389 495]]
[[235 556]] , [[235 560]]
[[415 573]] , [[412 576]]
[[737 554]] , [[737 558]]
[[259 553]] , [[258 554]]
[[286 572]] , [[284 574]]
[[772 569]] , [[772 573]]
[[627 620]] , [[627 624]]
[[158 485]] , [[158 489]]
[[567 571]] , [[565 573]]
[[518 489]] , [[518 493]]
[[449 571]] , [[449 573]]
[[652 488]] , [[652 492]]
[[227 553]] , [[227 557]]
[[560 489]] , [[560 493]]
[[204 571]] , [[204 575]]
[[461 571]] , [[461 575]]
[[566 571]] , [[566 575]]
[[599 651]] , [[598 652]]
[[705 631]] , [[705 635]]
[[390 491]] , [[390 495]]
