[[1022   13]] , [[1022   17]]
[[237 299]] , [[237 303]]
[[741 119]] , [[741 123]]
[[812 120]] , [[812 124]]
[[664  13]] , [[664  17]]
[[739 119]] , [[739 123]]
[[780 117]] , [[780 121]]
[[1017  116]] , [[1016  117]]
[[686 349]] , [[686 353]]
[[225 554]] , [[225 558]]
[[920 608]] , [[920 612]]
[[543 549]] , [[540 552]]
[[121 460]] , [[121 464]]
[[627 547]] , [[626 548]]
[[704 484]] , [[703 485]]
[[558 488]] , [[557 489]]
[[799 354]] , [[799 358]]
[[542 489]] , [[542 493]]
[[363 489]] , [[362 490]]
[[365 489]] , [[364 490]]
[[415 453]] , [[414 454]]
[[192 357]] , [[192 361]]
[[ 34 357]] , [[ 34 361]]
[[534 489]] , [[534 493]]
[[379 488]] , [[379 492]]
[[609 488]] , [[609 492]]
[[749 483]] , [[749 487]]
[[213 553]] , [[212 554]]
[[391 488]] , [[391 492]]
[[382 573]] , [[382 577]]
[[1038  119]] , [[1038  123]]
[[ 16 357]] , [[ 16 361]]
[[834 483]] , [[834 484]]
[[186 457]] , [[186 461]]
[[710 569]] , [[710 573]]
[[495 547]] , [[494 548]]
[[608 614]] , [[607 615]]
[[189 553]] , [[189 557]]
[[493 574]] , [[493 578]]
[[519 554]] , [[519 558]]
[[606 555]] , [[606 559]]
[[654 491]] , [[654 495]]
[[303 554]] , [[303 558]]
[[462 491]] , [[462 495]]
[[490 492]] , [[490 496]]
[[637 489]] , [[636 490]]
[[365 551]] , [[365 555]]
[[126 462]] , [[126 466]]
[[799 488]] , [[799 492]]
[[765 488]] , [[764 489]]
[[210 573]] , [[210 577]]
[[378 491]] , [[378 495]]
[[225 556]] , [[225 560]]
[[363 573]] , [[360 576]]
[[747 553]] , [[747 557]]
[[227 553]] , [[226 554]]
[[567 571]] , [[564 574]]
[[190 554]] , [[190 558]]
[[575 617]] , [[574 618]]
[[127 485]] , [[127 489]]
[[529 571]] , [[529 573]]
[[332 489]] , [[332 493]]
[[257 571]] , [[257 572]]
[[577 488]] , [[577 492]]
[[217 553]] , [[215 555]]
[[530 489]] , [[530 493]]
[[785 565]] , [[785 568]]
[[447 571]] , [[447 575]]
[[559 571]] , [[559 574]]
[[756 630]] , [[756 634]]
[[756 630]] , [[756 634]]
[[380 491]] , [[380 495]]
[[652 553]] , [[652 557]]
[[545 488]] , [[544 489]]
[[605 574]] , [[605 578]]
[[390 575]] , [[390 579]]
[[537 571]] , [[537 575]]
[[255 553]] , [[252 556]]
[[197 572]] , [[197 576]]
[[631 490]] , [[631 494]]
[[635 620]] , [[635 621]]
[[711 634]] , [[711 639]]
[[912 620]] , [[911 621]]
[[827 650]] , [[827 654]]
[[828 658]] , [[828 665]]
[[516 658]] , [[516 662]]
[[395 576]] , [[395 580]]
[[734 659]] , [[734 663]]
[[776 660]] , [[776 667]]
[[204 575]] , [[204 579]]
[[439 576]] , [[439 580]]
[[176 573]] , [[176 577]]
[[447 576]] , [[447 580]]
[[199 461]] , [[199 465]]
[[256 491]] , [[255 492]]
[[341 495]] , [[341 499]]
[[164 564]] , [[164 569]]
[[293 553]] , [[290 556]]
[[235 576]] , [[235 580]]
[[297 573]] , [[296 574]]
[[691 574]] , [[691 578]]
[[257 574]] , [[257 578]]
[[623 649]] , [[622 650]]
[[529 653]] , [[530 652]]
[[650 650]] , [[650 655]]
[[689 574]] , [[689 578]]
[[660 648]] , [[660 657]]
[[525 655]] , [[525 659]]
[[585 650]] , [[585 655]]
[[299 573]] , [[299 577]]
[[663 653]] , [[663 657]]
[[703 631]] , [[702 632]]
[[562 666]] , [[562 669]]
[[533 631]] , [[533 640]]
[[570 630]] , [[570 634]]
[[570 630]] , [[570 634]]
[[529 654]] , [[529 659]]
[[674 572]] , [[674 576]]
[[773 571]] , [[773 575]]
[[405 551]] , [[405 555]]
[[581 573]] , [[581 577]]
[[257 555]] , [[256 556]]
[[165 562]] , [[165 566]]
[[465 576]] , [[465 580]]
[[856 662]] , [[856 663]]
[[660 634]] , [[660 641]]
[[703 631]] , [[703 635]]
[[497 599]] , [[495 601]]
[[573 625]] , [[573 629]]
[[231 555]] , [[231 556]]
[[678 572]] , [[678 576]]
[[188 573]] , [[188 577]]
[[321 553]] , [[321 557]]
[[449 492]] , [[449 496]]
[[367 575]] , [[366 576]]
[[321 553]] , [[321 557]]
[[644 575]] , [[644 579]]
[[543 492]] , [[543 496]]
[[509 653]] , [[509 657]]
[[533 599]] , [[532 600]]
[[518 656]] , [[518 660]]
[[343 576]] , [[343 580]]
[[837 654]] , [[837 658]]
[[523 575]] , [[522 576]]
[[834 669]] , [[834 673]]
[[622 650]] , [[622 661]]
[[317 576]] , [[317 580]]
[[521 654]] , [[521 658]]
[[731 627]] , [[731 631]]
[[474 573]] , [[474 577]]
[[587 622]] , [[587 626]]
[[658 574]] , [[658 578]]
[[620 575]] , [[620 579]]
[[600 575]] , [[600 579]]
[[345 573]] , [[342 576]]
[[448 575]] , [[448 579]]
[[750 628]] , [[750 632]]
[[379 573]] , [[379 577]]
[[620 575]] , [[620 579]]
[[642 575]] , [[642 579]]
[[686 575]] , [[686 579]]
[[469 453]] , [[469 457]]
[[161 459]] , [[161 461]]
[[ 48 359]] , [[ 48 363]]
[[1041  120]] , [[1041  124]]
[[752 489]] , [[752 493]]
[[661 489]] , [[661 493]]
[[216 487]] , [[216 491]]
[[  7 358]] , [[  7 362]]
[[379 551]] , [[379 555]]
[[273 490]] , [[273 494]]
[[179 459]] , [[178 460]]
[[942 121]] , [[942 125]]
[[286 491]] , [[286 495]]
[[917 120]] , [[917 124]]
[[129 462]] , [[129 466]]
[[149 462]] , [[149 466]]
[[370 492]] , [[370 496]]
[[613 120]] , [[613 124]]
[[ 75 359]] , [[ 75 363]]
[[813 121]] , [[812 122]]
[[ 90 479]] , [[ 90 483]]
[[791 121]] , [[790 122]]
[[760 489]] , [[760 493]]
[[1010  121]] , [[1010  125]]
[[749 556]] , [[749 560]]
[[278 556]] , [[277 557]]
[[633 575]] , [[632 576]]
[[315 553]] , [[315 557]]
[[284 555]] , [[284 559]]
[[617 553]] , [[617 557]]
[[127 487]] , [[127 491]]
[[126 462]] , [[126 466]]
[[381 455]] , [[381 459]]
[[812 121]] , [[812 125]]
[[177 487]] , [[177 491]]
[[545 451]] , [[544 452]]
[[103 463]] , [[103 467]]
[[ 81 471]] , [[ 81 472]]
[[141 464]] , [[141 468]]
[[155 461]] , [[155 465]]
[[ 97 360]] , [[ 97 364]]
[[804 121]] , [[804 125]]
[[735 122]] , [[735 126]]
[[656 120]] , [[656 124]]
[[957 121]] , [[956 122]]
[[1006  123]] , [[1006  127]]
[[192 462]] , [[192 466]]
[[151 357]] , [[151 361]]
[[1004  123]] , [[1004  127]]
[[857 122]] , [[857 126]]
[[735 122]] , [[735 126]]
[[880 121]] , [[880 125]]
[[784 123]] , [[784 127]]
[[103 461]] , [[102 462]]
[[251 491]] , [[251 495]]
[[734 123]] , [[734 127]]
[[ 50 312]] , [[ 50 316]]
[[ 80 363]] , [[ 80 367]]
[[904 125]] , [[904 129]]
[[782 495]] , [[782 499]]
[[904 125]] , [[904 129]]
[[888 125]] , [[888 129]]
[[104 364]] , [[104 368]]
[[943 126]] , [[943 130]]
[[321 498]] , [[321 502]]
[[  6 129]] , [[  6 133]]
[[191 461]] , [[189 463]]
[[1008  117]] , [[1008  121]]
