[[853 115]] , [[853 119]]
[[462 353]] , [[462 357]]
[[830 116]] , [[829 117]]
[[805 118]] , [[805 122]]
[[542 448]] , [[541 449]]
[[736 119]] , [[736 123]]
[[199 358]] , [[199 362]]
[[1053  119]] , [[1053  123]]
[[858 119]] , [[858 123]]
[[ 14 357]] , [[ 14 361]]
[[758 119]] , [[758 123]]
[[1077   95]] , [[1077   98]]
[[ 36 357]] , [[ 36 361]]
[[735 354]] , [[735 358]]
[[758 119]] , [[758 123]]
[[1061  115]] , [[1061  116]]
[[608 120]] , [[608 124]]
[[609 120]] , [[609 124]]
[[1013  120]] , [[1012  121]]
[[549 452]] , [[549 456]]
[[126 485]] , [[126 489]]
[[720 355]] , [[720 359]]
[[740 119]] , [[740 123]]
[[ 57 360]] , [[ 57 364]]
[[ 22 359]] , [[ 22 363]]
[[617 120]] , [[617 124]]
[[  0 124]] , [[  0 128]]
[[628 120]] , [[628 124]]
[[928 121]] , [[928 125]]
[[ 41 360]] , [[ 41 364]]
[[912 120]] , [[912 124]]
[[753 119]] , [[753 123]]
[[244 489]] , [[244 493]]
[[1033  120]] , [[1033  124]]
[[962 115]] , [[962 119]]
[[ 98 359]] , [[ 98 363]]
[[971 122]] , [[971 126]]
[[1075   97]] , [[1075   98]]
[[193 457]] , [[191 459]]
[[615 120]] , [[615 124]]
[[ 47 360]] , [[ 47 364]]
[[1055  119]] , [[1055  120]]
[[134 359]] , [[134 363]]
[[748 119]] , [[748 123]]
[[894 121]] , [[894 125]]
[[1075  102]] , [[1075  103]]
[[1001  121]] , [[1001  125]]
[[668 117]] , [[668 121]]
[[223 487]] , [[223 491]]
[[893 119]] , [[893 123]]
[[203 554]] , [[203 558]]
[[397 592]] , [[397 596]]
[[ 76 464]] , [[ 76 468]]
[[121 356]] , [[121 360]]
[[1022  115]] , [[1021  116]]
[[105 355]] , [[105 359]]
[[601 458]] , [[601 462]]
[[ 94 306]] , [[ 94 310]]
[[  0 307]] , [[  0 311]]
[[882 117]] , [[882 121]]
[[749 483]] , [[749 487]]
[[120 357]] , [[120 361]]
[[645 550]] , [[645 554]]
[[991 119]] , [[991 123]]
[[668 487]] , [[668 491]]
[[135 487]] , [[135 491]]
[[109 357]] , [[109 361]]
[[ 13 359]] , [[ 13 363]]
[[876 119]] , [[876 123]]
[[911 121]] , [[911 125]]
[[972 119]] , [[972 123]]
[[ 91 356]] , [[ 91 360]]
[[877 119]] , [[877 123]]
[[158 458]] , [[158 462]]
[[873 119]] , [[873 123]]
[[749 119]] , [[749 123]]
[[749 119]] , [[749 123]]
[[ 88 475]] , [[ 88 479]]
[[888 119]] , [[888 123]]
[[895 119]] , [[895 123]]
[[ 76 357]] , [[ 76 361]]
[[908 119]] , [[908 123]]
[[888 119]] , [[888 123]]
[[ 14 357]] , [[ 14 361]]
[[159 485]] , [[159 489]]
[[540 489]] , [[540 493]]
[[756 489]] , [[756 493]]
[[201 458]] , [[201 462]]
[[1036  121]] , [[1036  125]]
[[1029  121]] , [[1029  125]]
[[116 359]] , [[116 363]]
[[1003  123]] , [[1003  127]]
[[108 489]] , [[108 493]]
[[1073   99]] , [[1073  102]]
[[117 489]] , [[117 493]]
[[247 556]] , [[247 560]]
[[829 487]] , [[829 491]]
[[344 357]] , [[344 361]]
[[ 82 471]] , [[ 82 475]]
[[207 462]] , [[207 466]]
[[693 485]] , [[693 489]]
[[978 123]] , [[978 127]]
[[144 358]] , [[143 359]]
[[929 117]] , [[929 121]]
[[232 488]] , [[231 489]]
[[159 462]] , [[159 466]]
[[295 491]] , [[295 495]]
[[816 119]] , [[816 123]]
[[621 119]] , [[621 123]]
[[907 121]] , [[907 125]]
[[134 359]] , [[134 363]]
[[961 119]] , [[961 123]]
[[1059  117]] , [[1059  118]]
[[970 121]] , [[970 125]]
[[894 121]] , [[894 125]]
