[[748 514]] , [[748 515]]
[[656 258]] , [[656 262]]
[[642 258]] , [[642 262]]
[[640 258]] , [[640 263]]
[[740 151]] , [[740 155]]
[[767 130]] , [[767 134]]
[[716 254]] , [[716 259]]
[[494 516]] , [[494 521]]
[[829 524]] , [[830 523]]
[[786   7]] , [[786  11]]
[[720 162]] , [[720 166]]
[[748 514]] , [[748 515]]
[[656 258]] , [[656 262]]
[[642 258]] , [[642 262]]
[[640 258]] , [[640 263]]
[[740 151]] , [[740 155]]
[[767 130]] , [[767 134]]
[[716 254]] , [[716 259]]
[[494 516]] , [[494 521]]
[[829 524]] , [[830 523]]
[[786   7]] , [[786  11]]
[[720 162]] , [[720 166]]
