[[ 33 302]] , [[ 34 301]]
[[484 770]] , [[484 775]]
[[834 572]] , [[834 579]]
[[ 829 1010]] , [[ 828 1011]]
[[490 978]] , [[490 989]]
[[ 490 1014]] , [[ 490 1025]]
[[482 984]] , [[482 991]]
[[ 784 1612]] , [[ 784 1616]]
[[ 491 1008]] , [[ 490 1009]]
[[ 483 1021]] , [[ 483 1025]]
[[ 491 1008]] , [[ 491 1009]]
[[ 826 1012]] , [[ 826 1017]]
[[698 998]] , [[ 698 1006]]
[[ 826 1012]] , [[ 826 1017]]
[[494 998]] , [[ 494 1003]]
[[698 998]] , [[ 698 1006]]
[[701 999]] , [[ 700 1000]]
[[ 483 1027]] , [[ 482 1028]]
[[ 838 1014]] , [[ 838 1019]]
[[ 798 1611]] , [[ 798 1615]]
[[ 453 1880]] , [[ 453 1882]]
[[ 827 1876]] , [[ 826 1877]]
[[763 712]] , [[761 714]]
[[484 725]] , [[484 729]]
[[696 982]] , [[696 989]]
[[ 838 1613]] , [[ 838 1617]]
[[478 760]] , [[478 764]]
[[688 972]] , [[688 977]]
[[680 958]] , [[680 967]]
[[ 838 1015]] , [[ 838 1021]]
[[ 472 1024]] , [[ 472 1029]]
[[ 478 1032]] , [[ 479 1031]]
[[ 703 1018]] , [[ 704 1017]]
[[482 990]] , [[482 991]]
[[656 790]] , [[656 801]]
[[477 933]] , [[476 934]]
[[ 679 1012]] , [[ 680 1011]]
[[654 882]] , [[654 887]]
[[ 679 1012]] , [[ 680 1011]]
[[656 800]] , [[656 827]]
[[842 898]] , [[842 903]]
[[ 703 1018]] , [[ 704 1017]]
[[ 703 1018]] , [[ 704 1017]]
[[484 872]] , [[484 873]]
[[484 872]] , [[484 877]]
[[490 983]] , [[490 990]]
[[ 782 1873]] , [[ 781 1874]]
[[482 996]] , [[ 482 1007]]
[[ 703 1018]] , [[ 704 1017]]
[[ 468 1030]] , [[ 468 1047]]
[[ 488 1018]] , [[ 488 1019]]
[[ 520 1032]] , [[ 520 1037]]
[[ 518 1033]] , [[ 518 1037]]
[[ 936 1876]] , [[ 936 1880]]
[[466 860]] , [[466 867]]
[[ 488 1018]] , [[ 488 1019]]
[[ 475 1032]] , [[ 476 1031]]
[[ 491 1028]] , [[ 492 1027]]
[[ 491 1024]] , [[ 492 1023]]
[[ 488 1018]] , [[ 488 1019]]
[[ 488 1016]] , [[ 488 1017]]
[[ 771 1612]] , [[ 771 1616]]
[[464 862]] , [[464 869]]
[[464 862]] , [[464 869]]
[[486 873]] , [[485 874]]
[[468 814]] , [[468 815]]
[[ 488 1010]] , [[ 489 1009]]
[[ 489 1010]] , [[ 490 1009]]
[[ 482 1000]] , [[ 482 1013]]
[[ 644 1613]] , [[ 644 1617]]
